"","data_action"
"16666","First Party Collection/Use"
"16667","First Party Collection/Use"
"16668","First Party Collection/Use"
"16669","Other"
"16670","User Access, Edit and Deletion"
"16671","User Access, Edit and Deletion"
"16672","User Access, Edit and Deletion"
"16673","User Access, Edit and Deletion"
"16674","User Access, Edit and Deletion"
"16675","Other"
"16676","Data Security"
"16677","Data Security"
"16678","Data Security"
"16679","Other"
"16680","Data Security"
"16681","International and Specific Audiences"
"16682","User Choice/Control"
"16683","Policy Change"
"16684","Other"
"16685","Policy Change"
"16686","Other"
"16687","Policy Change"
"16688","Other"
"16689","Other"
"16690","Other"
"16691","Other"
"16692","Policy Change"
"16693","Policy Change"
"16694","Policy Change"
"16695","Policy Change"
"16696","Policy Change"
"16697","Policy Change"
"16698","Policy Change"
"16699","Policy Change"
"16700","Policy Change"
"16701","Policy Change"
"16702","Policy Change"
"16703","Policy Change"
"16704","Third Party Sharing/Collection"
"16705","First Party Collection/Use"
"16706","First Party Collection/Use"
"16707","First Party Collection/Use"
"16708","First Party Collection/Use"
"16709","First Party Collection/Use"
"16710","Third Party Sharing/Collection"
"16711","Third Party Sharing/Collection"
"16712","Third Party Sharing/Collection"
"16713","Third Party Sharing/Collection"
"16714","Third Party Sharing/Collection"
"16715","First Party Collection/Use"
"16716","First Party Collection/Use"
"16717","First Party Collection/Use"
"16718","First Party Collection/Use"
"16719","Third Party Sharing/Collection"
"16720","Third Party Sharing/Collection"
"16721","Third Party Sharing/Collection"
"16722","First Party Collection/Use"
"16723","First Party Collection/Use"
"16724","First Party Collection/Use"
"16725","Third Party Sharing/Collection"
"16726","Third Party Sharing/Collection"
"16727","First Party Collection/Use"
"16728","First Party Collection/Use"
"16729","First Party Collection/Use"
"16730","First Party Collection/Use"
"16731","First Party Collection/Use"
"16732","First Party Collection/Use"
"16733","First Party Collection/Use"
"16734","First Party Collection/Use"
"16735","First Party Collection/Use"
"16736","First Party Collection/Use"
"16737","First Party Collection/Use"
"16738","First Party Collection/Use"
"16739","Third Party Sharing/Collection"
"16740","Third Party Sharing/Collection"
"16741","First Party Collection/Use"
"16742","First Party Collection/Use"
"16743","First Party Collection/Use"
"16744","First Party Collection/Use"
"16745","First Party Collection/Use"
"16746","First Party Collection/Use"
"16747","First Party Collection/Use"
"16748","First Party Collection/Use"
"16749","First Party Collection/Use"
"16750","First Party Collection/Use"
"16751","First Party Collection/Use"
"16752","First Party Collection/Use"
"16753","First Party Collection/Use"
"16754","First Party Collection/Use"
"16755","First Party Collection/Use"
"16756","First Party Collection/Use"
"16757","First Party Collection/Use"
"16758","Third Party Sharing/Collection"
"16759","First Party Collection/Use"
"16760","First Party Collection/Use"
"16761","First Party Collection/Use"
"16762","Third Party Sharing/Collection"
"16763","First Party Collection/Use"
"16764","First Party Collection/Use"
"16765","First Party Collection/Use"
"16766","First Party Collection/Use"
"16767","First Party Collection/Use"
"16768","First Party Collection/Use"
"16769","First Party Collection/Use"
"16770","First Party Collection/Use"
"16771","First Party Collection/Use"
"16772","First Party Collection/Use"
"16773","First Party Collection/Use"
"16774","First Party Collection/Use"
"16775","First Party Collection/Use"
"16776","First Party Collection/Use"
"16777","Third Party Sharing/Collection"
"16778","Third Party Sharing/Collection"
"16779","First Party Collection/Use"
"16780","Third Party Sharing/Collection"
"16781","Third Party Sharing/Collection"
"16782","Third Party Sharing/Collection"
"16783","Third Party Sharing/Collection"
"16784","Third Party Sharing/Collection"
"16785","Third Party Sharing/Collection"
"16786","Third Party Sharing/Collection"
"16787","Third Party Sharing/Collection"
"16788","Third Party Sharing/Collection"
"16789","Third Party Sharing/Collection"
"16790","Third Party Sharing/Collection"
"16791","Third Party Sharing/Collection"
"16792","Third Party Sharing/Collection"
"16793","Third Party Sharing/Collection"
"16794","Third Party Sharing/Collection"
"16795","Third Party Sharing/Collection"
"16796","First Party Collection/Use"
"16797","First Party Collection/Use"
"16798","First Party Collection/Use"
"16799","First Party Collection/Use"
"16800","First Party Collection/Use"
"16801","First Party Collection/Use"
"16802","Other"
"16803","Third Party Sharing/Collection"
"16804","First Party Collection/Use"
"16805","Other"
"16806","First Party Collection/Use"
"16807","Third Party Sharing/Collection"
"16808","Data Security"
"16809","Other"
"16810","Third Party Sharing/Collection"
"16811","Third Party Sharing/Collection"
"16812","Data Security"
"16813","Data Security"
"16814","Data Security"
"16815","Other"
"16816","International and Specific Audiences"
"16817","First Party Collection/Use"
"16818","International and Specific Audiences"
"16819","User Choice/Control"
"16820","User Choice/Control"
"16821","User Choice/Control"
"16822","User Choice/Control"
"16823","User Choice/Control"
"16824","User Choice/Control"
"16825","Other"
"16826","Third Party Sharing/Collection"
"16827","Other"
"16828","Other"
"16829","Other"
"16830","Other"
"16831","Data Security"
"16832","First Party Collection/Use"
"16833","First Party Collection/Use"
"16834","First Party Collection/Use"
"16835","First Party Collection/Use"
"16836","First Party Collection/Use"
"16837","First Party Collection/Use"
"16838","First Party Collection/Use"
"16839","First Party Collection/Use"
"16840","First Party Collection/Use"
"16841","First Party Collection/Use"
"16842","First Party Collection/Use"
"16843","First Party Collection/Use"
"16844","First Party Collection/Use"
"16845","First Party Collection/Use"
"16846","First Party Collection/Use"
"16847","First Party Collection/Use"
"16848","First Party Collection/Use"
"16849","First Party Collection/Use"
"16850","User Choice/Control"
"16851","User Choice/Control"
"16852","User Choice/Control"
"16853","User Choice/Control"
"16854","User Choice/Control"
"16855","User Choice/Control"
"16856","First Party Collection/Use"
"16857","First Party Collection/Use"
"16858","First Party Collection/Use"
"16859","First Party Collection/Use"
"16860","Data Retention"
"16861","Third Party Sharing/Collection"
"16862","Third Party Sharing/Collection"
"16863","Data Retention"
"16864","Data Security"
"16865","Third Party Sharing/Collection"
"16866","Third Party Sharing/Collection"
"16867","First Party Collection/Use"
"16868","First Party Collection/Use"
"16869","Third Party Sharing/Collection"
"16870","Third Party Sharing/Collection"
"16871","Other"
"16872","Third Party Sharing/Collection"
"16873","Other"
"16874","User Access, Edit and Deletion"
"16875","Other"
"16876","First Party Collection/Use"
"16877","First Party Collection/Use"
"16878","First Party Collection/Use"
"16879","First Party Collection/Use"
"16880","First Party Collection/Use"
"16881","First Party Collection/Use"
"16882","First Party Collection/Use"
"16883","Other"
"16884","First Party Collection/Use"
"16885","First Party Collection/Use"
"16886","First Party Collection/Use"
"16887","First Party Collection/Use"
"16888","First Party Collection/Use"
"16889","First Party Collection/Use"
"16890","First Party Collection/Use"
"16891","First Party Collection/Use"
"16892","First Party Collection/Use"
"16893","First Party Collection/Use"
"16894","First Party Collection/Use"
"16895","First Party Collection/Use"
"16896","First Party Collection/Use"
"16897","First Party Collection/Use"
"16898","First Party Collection/Use"
"16899","First Party Collection/Use"
"16900","First Party Collection/Use"
"16901","First Party Collection/Use"
"16902","First Party Collection/Use"
"16903","First Party Collection/Use"
"16904","First Party Collection/Use"
"16905","User Choice/Control"
"16906","First Party Collection/Use"
"16907","Third Party Sharing/Collection"
"16908","First Party Collection/Use"
"16909","First Party Collection/Use"
"16910","First Party Collection/Use"
"16911","First Party Collection/Use"
"16912","First Party Collection/Use"
"16913","First Party Collection/Use"
"16914","Third Party Sharing/Collection"
"16915","Third Party Sharing/Collection"
"16916","Third Party Sharing/Collection"
"16917","Third Party Sharing/Collection"
"16918","Third Party Sharing/Collection"
"16919","Third Party Sharing/Collection"
"16920","Third Party Sharing/Collection"
"16921","Data Security"
"16922","First Party Collection/Use"
"16923","First Party Collection/Use"
"16924","First Party Collection/Use"
"16925","First Party Collection/Use"
"16926","First Party Collection/Use"
"16927","Other"
"16928","First Party Collection/Use"
"16929","First Party Collection/Use"
"16930","Third Party Sharing/Collection"
"16931","Other"
"16932","Third Party Sharing/Collection"
"16933","Third Party Sharing/Collection"
"16934","Third Party Sharing/Collection"
"16935","Third Party Sharing/Collection"
"16936","Third Party Sharing/Collection"
"16937","Third Party Sharing/Collection"
"16938","Other"
"16939","Data Security"
"16940","Data Security"
"16941","Data Security"
"16942","International and Specific Audiences"
"16943","International and Specific Audiences"
"16944","Policy Change"
"16945","Policy Change"
"16946","Policy Change"
"16947","Policy Change"
"16948","Policy Change"
"16949","Policy Change"
"16950","Policy Change"
"16951","User Access, Edit and Deletion"
"16952","User Access, Edit and Deletion"
"16953","User Choice/Control"
"16954","User Choice/Control"
"16955","User Access, Edit and Deletion"
"16956","User Choice/Control"
"16957","User Choice/Control"
"16958","User Access, Edit and Deletion"
"16959","User Choice/Control"
"16960","User Choice/Control"
"16961","User Choice/Control"
"16962","Data Security"
"16963","Other"
"16964","International and Specific Audiences"
"16965","International and Specific Audiences"
"16966","International and Specific Audiences"
"16967","International and Specific Audiences"
"16968","International and Specific Audiences"
"16969","Data Security"
"16970","First Party Collection/Use"
"16971","International and Specific Audiences"
"16972","First Party Collection/Use"
"16973","First Party Collection/Use"
"16974","First Party Collection/Use"
"16975","First Party Collection/Use"
"16976","First Party Collection/Use"
"16977","International and Specific Audiences"
"16978","Other"
"16979","Third Party Sharing/Collection"
"16980","Third Party Sharing/Collection"
"16981","Third Party Sharing/Collection"
"16982","Third Party Sharing/Collection"
"16983","Third Party Sharing/Collection"
"16984","International and Specific Audiences"
"16985","Third Party Sharing/Collection"
"16986","Third Party Sharing/Collection"
"16987","Third Party Sharing/Collection"
"16988","Third Party Sharing/Collection"
"16989","Third Party Sharing/Collection"
"16990","Third Party Sharing/Collection"
"16991","Third Party Sharing/Collection"
"16992","Third Party Sharing/Collection"
"16993","Third Party Sharing/Collection"
"16994","Third Party Sharing/Collection"
"16995","First Party Collection/Use"
"16996","Third Party Sharing/Collection"
"16997","Third Party Sharing/Collection"
"16998","First Party Collection/Use"
"16999","First Party Collection/Use"
"17000","Third Party Sharing/Collection"
"17001","Third Party Sharing/Collection"
"17002","Third Party Sharing/Collection"
"17003","Third Party Sharing/Collection"
"17004","International and Specific Audiences"
"17005","Third Party Sharing/Collection"
"17006","User Choice/Control"
"17007","Third Party Sharing/Collection"
